tahun,lokasi,jumlah_judul,jumlah_eksemplar
2019,Perpustakaan Umum Tk. Provinsi,217511,630423
2019,Perpustakaan Umum Kota Jakpus,48127,124054
2019,Perpustakaan Umum Kota Jakut,15531,77712
2019,Perpustakaan Umum Kota Jakbar,45018,139597
2019,Perpustakaan Umum Kota Jaksel,76685,173613
2019,Perpustakaan Umum Kota Jaktim,70768,247411
2019,Perpustakaan Umum Kab Kep. Seribu,11305,31642
2019,Perpustakaan PDS HB Jassin,134176,165039
2019,Perpustakaan digital iJakarta,7364,95632
