tahun,lokasi,jumlah_judul,jumlah_eksemplar
2017,Perpustakaan Umum Tk. Provinsi,242018,583476
2017,Perpustakaan Umum Kota Jakpus,43032,73929
2017,Perpustakaan Umum Kota Jakut,1118,33554
2017,Perpustakaan Umum Kota Jakbar,38788,99097
2017,Perpustakaan Umum Kota Jaksel,7404,132623
2017,Perpustakaan Umum Kota Jaktim,43645,104282
2017,Perpustakaan Umum Kab Kep. Seribu,10184,24512
2017,Perpustakaan digital iJakarta,5669,76052
